,Player Name,Goals/90min,Assists/90min,Yel/90min,Red/90min,SpG,PS%,Rating,Tackles,Inter,Fouls (def),Offsides,Clear,DrB (def),Blocks,DrB (off),Fouled (off),Off (off),Disp (off),KeyP,AvgP,Crosses,LongB,ThrB,OutOfBox,SixYardBox,PenaltyArea,Playing_Nature,Vertical Position,Horizontal Position
36,Charalampos Lykogiannis,0.26,0.26,0.92,0.0,0.5,59.1,6.67,1.5,1.4,1.2,0.2,2.4,0.6,0.3,0.5,1.2,0.0,0.9,0.3,16.9,0.5,0.6,0.0,0.5,0.0,0.1,Defensive,Mid,Left
368,Victor Luis,0.0,0.0,0.23,0.0,0.8,76.8,6.64,1.2,1.6,0.4,0.0,2.0,1.4,0.2,0.4,0.6,0.0,1.2,0.4,36.2,0.4,1.6,0.0,0.6,0.0,0.2,Defensive,Back,Left
374,Leonardo Gomes,0.0,0.0,0.0,0.0,1.0,87.8,7.44,3.5,2.5,1.0,0.0,4.5,2.0,0.0,1.0,1.5,0.0,1.0,0.5,41.0,0.0,1.5,0.0,0.5,0.0,0.5,Defensive,Back,Right
381,Angel Romero,0.54,0.36,0.54,0.0,1.5,70.8,7.31,2.7,1.2,1.7,0.0,0.8,1.3,0.0,1.8,4.8,0.0,1.7,0.3,32.0,0.7,0.2,0.0,0.8,0.0,0.7,Attacking,Mid,Right
384,Rene Junior,0.0,0.0,0.0,0.0,0.5,86.9,7.19,4.0,2.0,3.5,0.0,2.5,2.0,0.5,0.0,2.0,0.0,2.5,0.5,42.0,0.0,1.0,0.0,0.5,0.0,0.0,Defensive,Mid,Center
385,Pedrinho,0.0,0.0,0.13,0.0,1.7,75.8,6.89,0.5,1.2,1.2,0.0,0.1,0.4,0.0,3.4,1.7,0.2,2.0,1.1,28.9,0.4,0.9,0.0,1.2,0.0,0.5,Attacking,Mid,Right
386,Clayson,0.58,0.58,0.0,0.0,1.0,76.6,6.92,0.7,0.7,1.3,0.0,0.3,1.0,0.0,1.0,0.7,0.0,1.0,0.7,21.3,1.0,0.3,0.0,0.7,0.3,0.0,Attacking,Mid,Left
388,Paulo Roberto,0.0,0.0,0.73,0.0,0.7,89.3,6.76,2.3,4.3,1.7,0.0,0.0,1.7,0.3,0.0,0.3,0.0,1.3,0.0,50.0,0.0,2.0,0.0,0.7,0.0,0.0,Defensive,Mid,Center
389,Mantuan,0.0,0.0,0.1,0.0,0.2,87.8,6.8,2.3,1.4,1.3,0.0,2.5,0.9,0.2,1.3,1.2,0.0,0.3,0.3,53.3,0.1,1.2,0.0,0.0,0.0,0.2,Defensive,Back,Right
390,Junior Dutra,0.61,0.0,0.61,0.0,0.0,76.1,6.3,0.8,0.2,1.2,0.0,0.2,0.8,0.0,0.6,0.8,0.0,0.4,1.0,14.2,0.4,0.0,0.0,0.0,0.0,0.0,Attacking,Forward,Center
401,Ricardo Graca,0.0,0.0,0.64,0.0,0.0,85.3,6.58,1.4,2.0,1.0,0.8,4.0,1.0,0.8,0.2,0.4,0.4,0.0,0.0,39.4,0.0,2.0,0.0,0.0,0.0,0.0,Defensive,Back,Center
